City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Jawhar,SO,2.78,45.50,72.41,82,29,12.21,scattered clouds
298,Torbay,CA,47.67,-52.73,58.26,93,100,1.99,overcast clouds
299,Zaraza,VE,9.35,-65.32,74.68,94,100,3.02,overcast clouds
300,Morehead,US,37.27,-87.18,79.95,74,0,0.0,clear sky
301,Manadhoo,MV,5.77,73.38,81.23,81,80,13.11,broken clouds
302,Bowen,AU,-20.02,148.23,68.95,72,75,7.76,broken clouds
303,Chicama,PE,-7.84,-79.15,59.54,75,34,6.93,scattered clouds
304,Noumea,NC,-22.28,166.46,73.0,99,35,17.29,scattered clouds
305,Annau,TM,37.89,58.52,72.9,35,0,2.3,clear sky
306,Lasa,IT,46.62,10.70,65.28,91,85,2.44,overcast clouds
307,Huarmey,PE,-10.07,-78.15,63.14,83,38,10.47,scattered clouds
308,Iguape,BR,-24.71,-47.56,61.75,87,71,7.18,broken clouds
309,Romano Di Lombardia,IT,45.52,9.75,78.15,56,40,2.3,scattered clouds
310,Roshchino,RU,60.25,29.61,63.01,90,92,10.92,overcast clouds
311,Tarrafal,CV,15.28,-23.77,79.59,79,73,12.93,broken clouds
312,Lompoc,US,34.64,-120.46,78.94,69,0,14.97,clear sky
313,Golden,US,39.76,-105.22,94.93,25,40,7.0,scattered clouds
314,Oussouye,SN,12.48,-16.55,82.49,83,100,5.88,overcast clouds
315,Ca Mau,VN,9.18,105.15,79.18,86,83,3.74,broken clouds
316,Anshun,CN,26.25,105.93,66.99,93,90,5.73,overcast clouds
317,Port-Gentil,GA,-0.72,8.78,74.53,80,99,12.86,overcast clouds
318,Benguela,AO,-12.58,13.41,68.34,86,74,2.86,broken clouds
319,Ekhabi,RU,53.51,142.97,64.08,78,47,2.86,scattered clouds
320,Jibuti,DJ,11.50,42.50,81.86,60,78,6.22,broken clouds
321,Sinazongwe,ZM,-17.26,27.46,67.21,49,1,3.53,clear sky
322,Beringovskiy,RU,63.05,179.32,54.41,79,100,11.5,overcast clouds
323,Qui Nhon,VN,13.77,109.23,80.38,73,71,4.74,broken clouds
324,Huancabamba,PE,-5.24,-79.45,57.81,80,75,5.64,broken clouds
325,Mbandaka,CD,0.05,18.26,72.77,64,92,3.27,overcast clouds
326,Bud,US,39.45,-86.18,76.91,90,31,8.39,scattered clouds
327,Shangrao,CN,28.45,117.97,87.66,61,100,1.88,overcast clouds
328,Sao Sebastiao,BR,-23.76,-45.41,63.16,87,71,2.91,broken clouds
329,Port Lavaca,US,28.61,-96.63,89.65,67,0,4.61,clear sky
330,Dogondoutchi,NE,13.64,4.03,76.33,66,99,8.39,overcast clouds
